Name;Type (spreadsheet, plain or custom_api);Data freshness (realtime, 1h, 4h, 12h or 1d);Value (if type is plain);Spreadsheet ID (if type is spreadsheet);Cell (if type is spreadsheet);Filter value (if type is spreadsheet);Comparison value (if type is spreadsheet);Endpoint (if type is custom_api);Tree (if type is custom_api)
GLOBAL_MA_CMO_1;spreadsheet;realtime;;1rHv93_43shwdnQlANdNZydiJg351LgkxfjOfRn9_470;Sheet1!C53;;;;
GLOBAL_MA_CMO_2;spreadsheet;realtime;;1rHv93_43shwdnQlANdNZydiJg351LgkxfjOfRn9_470;Sheet1!C54;;;;
GLOBAL_MA_UAH_1;spreadsheet;realtime;;1rHv93_43shwdnQlANdNZydiJg351LgkxfjOfRn9_470;Sheet1!C55;;;;
GLOBAL_MA_UAH_2;spreadsheet;realtime;;1rHv93_43shwdnQlANdNZydiJg351LgkxfjOfRn9_470;Sheet1!C56;;;;
GLOBAL_MA_RAP_1;spreadsheet;realtime;;1rHv93_43shwdnQlANdNZydiJg351LgkxfjOfRn9_470;Sheet1!C57;;;;
GLOBAL_MA_RAP_2;spreadsheet;realtime;;1rHv93_43shwdnQlANdNZydiJg351LgkxfjOfRn9_470;Sheet1!C58;;;;
GLOBAL_MA_POS_1;spreadsheet;realtime;;1rHv93_43shwdnQlANdNZydiJg351LgkxfjOfRn9_470;Sheet1!C59;;;;
GLOBAL_MA_POS_2;spreadsheet;realtime;;1rHv93_43shwdnQlANdNZydiJg351LgkxfjOfRn9_470;Sheet1!C60;;;;
GLOBAL_MA_MA_1;spreadsheet;realtime;;1rHv93_43shwdnQlANdNZydiJg351LgkxfjOfRn9_470;Sheet1!C61;;;;
GLOBAL_MA_MA_2;spreadsheet;realtime;;1rHv93_43shwdnQlANdNZydiJg351LgkxfjOfRn9_470;Sheet1!C62;;;;
GLOBAL_MA_DB_1;spreadsheet;realtime;;1rHv93_43shwdnQlANdNZydiJg351LgkxfjOfRn9_470;Sheet1!C63;;;;
GLOBAL_MA_DB_2;spreadsheet;realtime;;1rHv93_43shwdnQlANdNZydiJg351LgkxfjOfRn9_470;Sheet1!C64;;;;
