Name;Type (spreadsheet, plain or custom_api);Data freshness (realtime, 1h, 4h, 12h or 1d);Value (if type is plain);Spreadsheet ID (if type is spreadsheet);Cell (if type is spreadsheet);Filter value (if type is spreadsheet);Comparison value (if type is spreadsheet);Endpoint (if type is custom_api);Tree (if type is custom_api)
BW_Q17_AVG;spreadsheet;realtime;;1IFwmxJqoLBGf0hw3Bt63L910m5wLxVQmrZOK8JywrBw;Calculations!A6:AA1003;*|intro_field1_response|*;;;
BW_Q18_AVG;spreadsheet;realtime;;1IFwmxJqoLBGf0hw3Bt63L910m5wLxVQmrZOK8JywrBw;Calculations!A6:AB1003;*|intro_field1_response|*;;;
BW_Q19_TEAM_AVG;spreadsheet;realtime;;1IFwmxJqoLBGf0hw3Bt63L910m5wLxVQmrZOK8JywrBw;Calculations!A6:AC1003;*|intro_field1_response|*;;;
BW_Q19_A1;spreadsheet;realtime;;1IFwmxJqoLBGf0hw3Bt63L910m5wLxVQmrZOK8JywrBw;Calculations!A6:AD1003;*|intro_field1_response|*;;;
BW_Q19_A2;spreadsheet;realtime;;1IFwmxJqoLBGf0hw3Bt63L910m5wLxVQmrZOK8JywrBw;Calculations!A6:AE1003;*|intro_field1_response|*;;;
BW_Q19_A3;spreadsheet;realtime;;1IFwmxJqoLBGf0hw3Bt63L910m5wLxVQmrZOK8JywrBw;Calculations!A6:AF1003;*|intro_field1_response|*;;;
BW_Q19_A4;spreadsheet;realtime;;1IFwmxJqoLBGf0hw3Bt63L910m5wLxVQmrZOK8JywrBw;Calculations!A6:AG1003;*|intro_field1_response|*;;;
BW_Q19_A5;spreadsheet;realtime;;1IFwmxJqoLBGf0hw3Bt63L910m5wLxVQmrZOK8JywrBw;Calculations!A6:AH1003;*|intro_field1_response|*;;;
BW_Q19_A6;spreadsheet;realtime;;1IFwmxJqoLBGf0hw3Bt63L910m5wLxVQmrZOK8JywrBw;Calculations!A6:AI1003;*|intro_field1_response|*;;;
BW_Q19_A7;spreadsheet;realtime;;1IFwmxJqoLBGf0hw3Bt63L910m5wLxVQmrZOK8JywrBw;Calculations!A6:AJ1003;*|intro_field1_response|*;;;
BW_Q19_A8;spreadsheet;realtime;;1IFwmxJqoLBGf0hw3Bt63L910m5wLxVQmrZOK8JywrBw;Calculations!A6:AK1003;*|intro_field1_response|*;;;
BW_CHART_Q4_BENCHMARK;spreadsheet;realtime;;1IFwmxJqoLBGf0hw3Bt63L910m5wLxVQmrZOK8JywrBw;Calculations!AM2;;;;
BW_CHART_Q5_BENCHMARK;spreadsheet;realtime;;1IFwmxJqoLBGf0hw3Bt63L910m5wLxVQmrZOK8JywrBw;Calculations!AN2;;;;
BW_CHART_Q6_BENCHMARK;spreadsheet;realtime;;1IFwmxJqoLBGf0hw3Bt63L910m5wLxVQmrZOK8JywrBw;Calculations!AO2;;;;
BW_CHART_Q10_BENCHMARK;spreadsheet;realtime;;1IFwmxJqoLBGf0hw3Bt63L910m5wLxVQmrZOK8JywrBw;Calculations!AP2;;;;
BW_CHART_Q11_BENCHMARK;spreadsheet;realtime;;1IFwmxJqoLBGf0hw3Bt63L910m5wLxVQmrZOK8JywrBw;Calculations!AQ2;;;;
BW_CHART_Q12_BENCHMARK;spreadsheet;realtime;;1IFwmxJqoLBGf0hw3Bt63L910m5wLxVQmrZOK8JywrBw;Calculations!AR2;;;;
BW_CHART_Q16_BENCHMARK;spreadsheet;realtime;;1IFwmxJqoLBGf0hw3Bt63L910m5wLxVQmrZOK8JywrBw;Calculations!AS2;;;;
BW_CHART_Q17_BENCHMARK;spreadsheet;realtime;;1IFwmxJqoLBGf0hw3Bt63L910m5wLxVQmrZOK8JywrBw;Calculations!AT2;;;;
BW_CHART_Q18_BENCHMARK;spreadsheet;realtime;;1IFwmxJqoLBGf0hw3Bt63L910m5wLxVQmrZOK8JywrBw;Calculations!AU2;;;;
BW_CHART_Q4_AVG;spreadsheet;realtime;;1IFwmxJqoLBGf0hw3Bt63L910m5wLxVQmrZOK8JywrBw;Calculations!A6:AM1003;*|intro_field1_response|*;;;
BW_CHART_Q5_AVG;spreadsheet;realtime;;1IFwmxJqoLBGf0hw3Bt63L910m5wLxVQmrZOK8JywrBw;Calculations!A6:AN1003;*|intro_field1_response|*;;;
BW_CHART_Q6_AVG;spreadsheet;realtime;;1IFwmxJqoLBGf0hw3Bt63L910m5wLxVQmrZOK8JywrBw;Calculations!A6:AO1003;*|intro_field1_response|*;;;
BW_CHART_Q10_AVG;spreadsheet;realtime;;1IFwmxJqoLBGf0hw3Bt63L910m5wLxVQmrZOK8JywrBw;Calculations!A6:AP1003;*|intro_field1_response|*;;;
BW_CHART_Q11_AVG;spreadsheet;realtime;;1IFwmxJqoLBGf0hw3Bt63L910m5wLxVQmrZOK8JywrBw;Calculations!A6:AQ1003;*|intro_field1_response|*;;;
BW_CHART_Q12_AVG;spreadsheet;realtime;;1IFwmxJqoLBGf0hw3Bt63L910m5wLxVQmrZOK8JywrBw;Calculations!A6:AR1003;*|intro_field1_response|*;;;
BW_CHART_Q16_AVG;spreadsheet;realtime;;1IFwmxJqoLBGf0hw3Bt63L910m5wLxVQmrZOK8JywrBw;Calculations!A6:AS1003;*|intro_field1_response|*;;;
BW_CHART_Q17_AVG;spreadsheet;realtime;;1IFwmxJqoLBGf0hw3Bt63L910m5wLxVQmrZOK8JywrBw;Calculations!A6:AT1003;*|intro_field1_response|*;;;
BW_CHART_Q18_AVG;spreadsheet;realtime;;1IFwmxJqoLBGf0hw3Bt63L910m5wLxVQmrZOK8JywrBw;Calculations!A6:AU1003;*|intro_field1_response|*;;;
